study_arm,added_steps,suite,policy_mode,n,goal,safety,timeout,collision,goal_pct,safety_pct,timeout_pct,mean_original_return,mean_min_clearance_m,goal_only_mean_path_m,goal_only_mean_sim_time_s
original_reward,1500,E3,all,8,8,0,0,0,100.0,0.0,0.0,115.78936475616909,0.4490436539053917,1.8176387872606852,12.825250000000011
original_reward,1500,E3,stochastic,4,4,0,0,0,100.0,0.0,0.0,114.64598857124774,0.4258248433470726,1.8207244793002058,13.5505
original_reward,1500,E3,deterministic,4,4,0,0,0,100.0,0.0,0.0,116.93274094109044,0.4722624644637108,1.8145530952211644,12.100000000000023
original_reward,1750,E2,all,80,60,16,4,0,75.0,20.0,5.0,80.60104674170495,0.3376935411244631,2.4484655673838103,22.505683333333327
original_reward,1750,E2,stochastic,40,30,7,3,0,75.0,17.5,7.5,77.43289654880337,0.32525317296385764,2.375979274682576,23.844533333333324
original_reward,1750,E2,deterministic,40,30,9,1,0,75.0,22.5,2.5,83.76919693460653,0.3501339092850685,2.520951860085045,21.16683333333333
original_reward,1750,E3,all,8,8,0,0,0,100.0,0.0,0.0,113.93269511270529,0.355324849486351,1.8796244180730917,15.087499999999999
original_reward,1750,E3,stochastic,4,4,0,0,0,100.0,0.0,0.0,112.27965755030144,0.35396409779787064,1.9069166062035532,16.14999999999999
original_reward,1750,E3,deterministic,4,4,0,0,0,100.0,0.0,0.0,115.58573267510914,0.3566856011748314,1.8523322299426304,14.025000000000006
original_reward,2000,E2,all,80,50,26,4,0,62.5,32.5,5.0,65.32979669665299,0.3028491323813796,2.3015672954927777,20.658420000000003
original_reward,2000,E2,stochastic,40,25,13,2,0,62.5,32.5,5.0,62.75790609373972,0.2957702226936817,2.2489612810623476,21.9804
original_reward,2000,E2,deterministic,40,25,13,2,0,62.5,32.5,5.0,67.90168729956626,0.3099280420690775,2.354173309923208,19.33644000000001
original_reward,2000,E3,all,8,8,0,0,0,100.0,0.0,0.0,114.48019768624538,0.40008294954895973,1.9789825382816946,15.537500000000001
original_reward,2000,E3,stochastic,4,4,0,0,0,100.0,0.0,0.0,112.97522187316143,0.3681514859199524,2.02888884885001,17.27499999999999
original_reward,2000,E3,deterministic,4,4,0,0,0,100.0,0.0,0.0,115.9851734993293,0.43201441317796707,1.9290762277133786,13.800000000000011
original_reward,5000,E2,all,80,12,59,9,0,15.0,73.75,11.25,3.489174626108942,0.19548045564442873,1.6952653982837815,15.733333333333325
original_reward,5000,E2,stochastic,40,7,31,2,0,17.5,77.5,5.0,9.541558852568148,0.1909053087234497,1.603289604139799,14.942857142857138
original_reward,5000,E2,deterministic,40,5,28,7,0,12.5,70.0,17.5,-2.563209600350264,0.20005560256540775,1.824031510085357,16.839999999999986
original_reward,5000,E3,all,8,7,1,0,0,87.5,12.5,0.0,95.07573383622352,0.30816818587481976,2.1406802760825583,16.91471428571429
original_reward,5000,E3,stochastic,4,3,1,0,0,75.0,25.0,0.0,78.45742100219925,0.24833934381604195,2.4856288030383564,21.301000000000005
original_reward,5000,E3,deterministic,4,4,0,0,0,100.0,0.0,0.0,111.69404667024779,0.36799702793359756,1.8819688808657093,13.625
original_reward,10000,E2,all,80,6,68,6,0,7.5,85.0,7.5,-2.871416923432757,0.17648720350116492,1.8377994072054238,18.501500000000007
original_reward,10000,E2,stochastic,40,3,34,3,0,7.5,85.0,7.5,-1.6476518975096164,0.17006803564727307,2.2362986471971564,22.602999999999998
original_reward,10000,E2,deterministic,40,3,34,3,0,7.5,85.0,7.5,-4.095181949355897,0.18290637135505677,1.4393001672136911,14.400000000000015
original_reward,10000,E3,all,8,3,5,0,0,37.5,62.5,0.0,42.44129856871642,0.21561688371002674,1.9318362605008406,14.833333333333352
original_reward,10000,E3,stochastic,4,1,3,0,0,25.0,75.0,0.0,27.847181239838733,0.2143273614346981,1.9771495464358557,17.30000000000001
original_reward,10000,E3,deterministic,4,2,2,0,0,50.0,50.0,0.0,57.035415897594106,0.21690640598535538,1.9091796175333329,13.600000000000023
feedback_200,1499,E2,all,80,78,2,0,0,97.5,2.5,0.0,112.36483926545242,0.3798465136438608,2.6465436457581784,21.072051282051287
